team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,0,7,0.1,5.6,mandatory,C Connolly,B Kumar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,5
Punjab Kings,1,1,0.1,5.6,mandatory,P Simran Singh,JR Hazlewood,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,6
Punjab Kings,1,2,0.1,5.6,mandatory,C Connolly,JR Hazlewood,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,6
Punjab Kings,1,3,0.1,5.6,mandatory,C Connolly,JR Hazlewood,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,10
Punjab Kings,1,4,0.1,5.6,mandatory,C Connolly,JR Hazlewood,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,10
Punjab Kings,1,5,0.1,5.6,mandatory,C Connolly,JR Hazlewood,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,16
Punjab Kings,1,6,0.1,5.6,mandatory,C Connolly,JR Hazlewood,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,16
Punjab Kings,2,1,0.1,5.6,mandatory,P Simran Singh,B Kumar,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,16
Punjab Kings,2,2,0.1,5.6,mandatory,P Simran Singh,B Kumar,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,17
Punjab Kings,2,3,0.1,5.6,mandatory,C Connolly,B Kumar,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,18
Punjab Kings,2,4,0.1,5.6,mandatory,P Simran Singh,B Kumar,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,18
Punjab Kings,2,5,0.1,5.6,mandatory,P Simran Singh,B Kumar,C Connolly,0,0,0,,,,,,,,,,,P Simran Singh,caught,,,,,D Padikkal,20.0,223.0,18
Punjab Kings,2,6,0.1,5.6,mandatory,SS Iyer,B Kumar,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,19
Punjab Kings,3,1,0.1,5.6,mandatory,SS Iyer,Rasikh Salam,C Connolly,0,0,0,,,,,,,,,,,,,Rasikh Salam,D Padikkal,Royal Challengers Bengaluru,impact_player,,20.0,223.0,19
Punjab Kings,3,2,0.1,5.6,mandatory,SS Iyer,Rasikh Salam,C Connolly,0,0,0,,,,,,,,,,,SS Iyer,caught,,,,,JM Sharma,20.0,223.0,19
Punjab Kings,3,3,0.1,5.6,mandatory,Suryansh Shedge,Rasikh Salam,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,19
Punjab Kings,3,4,0.1,5.6,mandatory,Suryansh Shedge,Rasikh Salam,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,19
Punjab Kings,3,5,0.1,5.6,mandatory,Suryansh Shedge,Rasikh Salam,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,19
Punjab Kings,3,6,0.1,5.6,mandatory,Suryansh Shedge,Rasikh Salam,C Connolly,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,23
Punjab Kings,4,1,0.1,5.6,mandatory,C Connolly,JR Hazlewood,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,24
Punjab Kings,4,2,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,25
Punjab Kings,4,3,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,31
Punjab Kings,4,4,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,31
